id,name,latitude,longtitude,dpcapacity,online_date
227,"Southport Ave & Waveland Ave",41.9482,-87.6639,15,2013-08-20
228,"Damen Ave & Melrose Ave",41.9406,-87.6785,11,2013-08-20
229,"Southport Ave & Roscoe St",41.9437,-87.664,19,2013-08-29
230,"Lincoln Ave & Roscoe St",41.9433,-87.671,19,2013-08-20
231,"Sheridan Rd & Montrose Ave",41.9617,-87.6546,15,2013-08-20
232,"Pine Grove Ave & Waveland Ave",41.9493,-87.6463,23,2013-08-21
233,"Sangamon St & Washington Blvd (*)",41.883,-87.6511,15,2013-08-29
234,"Clark St & Montrose Ave",41.9616,-87.666,19,2013-08-21
236,"Sedgwick St & Schiller St",41.9076,-87.6385,15,2013-08-21
237,"MLK Jr Dr & 29th St",41.8421,-87.617,15,2013-08-21
238,"Ravenswood Ave & Montrose Ave (*)",41.9616,-87.6744,15,2013-08-22
239,"Western Ave & Leland Ave",41.9666,-87.6885,19,2013-08-21
240,"Sheridan Rd & Irving Park Rd",41.9542,-87.6544,23,2013-08-21
241,"Morgan St & Polk St",41.8717,-87.651,15,2013-08-22
242,"Damen Ave & Leland Ave",41.9671,-87.679,15,2013-08-22
243,"Lincoln Ave & Leavitt St",41.9624,-87.6841,15,2013-08-22
244,"Ravenswood Ave & Irving Park Rd",41.9547,-87.6739,19,2013-08-22
245,"Clarendon Ave & Junior Ter",41.961,-87.6496,15,2013-08-26
246,"Ashland Ave & Belle Plaine Ave",41.9561,-87.6689,11,2013-08-26
247,"Shore Dr & 55th St",41.7952,-87.5807,19,2013-08-23
248,"Woodlawn Ave & 55th St",41.7953,-87.5965,19,2013-08-23
249,"Montrose Harbor",41.964,-87.6382,31,2013-08-26
250,"Ashland Ave & Wellington Ave",41.9361,-87.6698,19,2013-08-26
251,"Clarendon Ave & Leland Ave",41.968,-87.65,15,2013-08-26
252,"Greenwood Ave & 47th St",41.8098,-87.5994,15,2013-08-27
253,"Clifton Ave & Lawrence Ave",41.9689,-87.6589,15,2013-09-05
254,"Pine Grove Ave & Irving Park Rd",41.9544,-87.648,15,2013-09-09
255,"Indiana Ave & Roosevelt Rd",41.8679,-87.623,31,2013-09-05
256,"Broadway & Sheridan Rd",41.9528,-87.65,15,2013-09-05
257,"Lincoln Ave & Waveland Ave",41.9491,-87.6751,15,2013-09-09
258,"Logan Blvd & Elston Ave",41.9306,-87.6851,19,2013-09-09
259,"California Ave & Francis Pl",41.9181,-87.697,15,2013-09-12
260,"Kedzie Ave & Milwaukee Ave",41.9296,-87.7079,19,2013-09-17
261,"Hermitage Ave & Polk St",41.8715,-87.6699,15,2013-09-05
262,"Halsted St & 37th St",41.8271,-87.6457,11,2013-10-01
263,"Rhodes Ave & 32nd St",41.8362,-87.6135,11,2013-09-17
264,"Stetson Ave & South Water St",41.8868,-87.6223,19,2013-09-18
265,"Cottage Grove Ave & Oakwood Blvd",41.823,-87.6071,15,2013-09-17
267,"Lake Park Ave & 47th St",41.8094,-87.5919,15,2013-09-17
268,"Lake Shore Dr & North Blvd",41.9117,-87.6268,39,2013-09-12
270,"Stony Island Ave & 75th St",41.7587,-87.5869,15,2015-04-24
271,"Cottage Grove Ave & 43rd St",41.8165,-87.6066,11,2013-09-12
272,"Indiana Ave & 31st St",41.8388,-87.6219,11,2013-09-12
273,"Michigan Ave & 18th St",41.8578,-87.6245,23,2013-09-12
274,"Racine Ave & 15th St",41.8613,-87.6566,15,2013-09-12
275,"Ashland Ave & 13th St",41.8652,-87.6665,15,2013-09-12
276,"California Ave & North Ave",41.9104,-87.6972,11,2013-09-12
277,"Ashland Ave & Grand Ave",41.8911,-87.6666,15,2013-09-12
278,"Wallace St & 35th St",41.8306,-87.6413,15,2013-09-13
279,"Halsted St & 35th St (*)",41.8307,-87.6472,16,2013-09-13
280,"Morgan St & 31st St",41.8378,-87.6511,11,2013-09-13
281,"Western Ave & 24th St",41.8485,-87.6851,15,2013-09-13
282,"Halsted St & Maxwell St",41.8649,-87.6471,15,2013-09-13
283,"LaSalle St & Jackson Blvd",41.8782,-87.632,31,2013-09-14
284,"Michigan Ave & Jackson Blvd",41.8778,-87.6241,23,2013-09-14
285,"Wood St & Grand Ave",41.8911,-87.672,15,2013-09-13
286,"Franklin St & Quincy St",41.8787,-87.6348,23,2013-09-14
287,"Franklin St & Monroe St",41.8803,-87.6352,27,2013-09-13
288,"Larrabee St & Armitage Ave",41.9181,-87.6437,11,2013-09-13
289,"Wells St & Concord Ln",41.9121,-87.6347,19,2013-09-14
290,"Kedzie Ave & Palmer Ct",41.9215,-87.7073,15,2013-10-09
291,"Wells St & Evergreen Ave",41.9067,-87.6348,19,2013-09-14
292,"Southport Ave & Clark St",41.9571,-87.6642,11,2013-09-14
293,"Broadway & Wilson Ave",41.9655,-87.6572,19,2013-09-18
294,"Broadway & Berwyn Ave",41.9784,-87.6598,15,2013-09-18
295,"Broadway & Argyle St",41.973,-87.6596,15,2013-09-18
296,"Broadway & Belmont Ave",41.9401,-87.6455,15,2013-09-18
297,"Paulina St & Montrose Ave",41.9615,-87.6714,15,2013-09-18
298,"Lincoln Ave & Belle Plaine Ave",41.9559,-87.6793,15,2013-10-01
299,"Halsted St & Roscoe St",41.9437,-87.6489,15,2013-09-19
300,"Broadway & Barry Ave",41.9377,-87.6441,19,2013-09-19
301,"Clark St & Schiller St",41.908,-87.6315,19,2013-09-19
302,"Sheffield Ave & Wrightwood Ave",41.9287,-87.6538,19,2013-09-20
303,"Broadway & Cornelia Ave",41.9455,-87.646,15,2013-09-19
304,"Broadway & Waveland Ave",41.9491,-87.6486,15,2013-09-19
305,"Western Ave & Division St",41.9029,-87.6873,15,2013-09-21
306,"Sheridan Rd & Buena Ave",41.9585,-87.655,15,2013-09-23
307,"Southport Ave & Clybourn Ave",41.9208,-87.6637,15,2013-09-25
308,"Seeley Ave & Roscoe St",41.9434,-87.6796,11,2013-09-27
309,"Leavitt St & Armitage Ave",41.9178,-87.6824,11,2013-09-20
310,"Damen Ave & Charleston St",41.9201,-87.6779,11,2013-09-20
311,"Leavitt St & Lawrence Ave",41.9689,-87.684,19,2013-09-20
312,"Clarendon Ave & Gordon Ter",41.9579,-87.6495,15,2013-09-20
313,"Lakeview Ave & Fullerton Pkwy",41.9259,-87.639,19,2013-09-20
314,"Ravenswood Ave & Berteau Ave",41.9579,-87.6736,15,2013-09-27
315,"Elston Ave & Wabansia Ave",41.9129,-87.6642,23,2013-09-21
316,"Damen Ave & Sunnyside Ave",41.9632,-87.6793,19,2013-09-25
317,"Wood St & Taylor St",41.8692,-87.671,23,2013-09-21
318,"Southport Ave & Irving Park Rd",41.9542,-87.6644,15,2013-09-21
319,"Greenview Ave & Diversey Pkwy",41.9326,-87.6659,15,2013-09-26
320,"Loomis St & Lexington St",41.8722,-87.6615,15,2013-09-21
321,"Wabash Ave & 8th St",41.872,-87.6261,19,2013-09-21
322,"Kimbark Ave & 53rd St",41.7996,-87.5947,19,2013-09-21
323,"Sheridan Rd & Lawrence Ave",41.9695,-87.6547,15,2013-09-23
324,"Stockton Dr & Wrightwood Ave",41.9313,-87.6387,15,2013-10-03
325,"Clark St & Winnemac Ave",41.9734,-87.6684,19,2013-09-23
326,"Clark St & Leland Ave",41.9671,-87.6674,11,2013-09-27
327,"Sheffield Ave & Webster Ave",41.9215,-87.6538,19,2013-09-25
328,"Ellis Ave & 58th St",41.7887,-87.6013,15,2013-09-25
329,"Lake Shore Dr & Diversey Pkwy",41.9327,-87.6363,15,2013-09-25
330,"Lincoln Ave & Addison St",41.9462,-87.6733,19,2013-09-26
331,"Halsted St & Blackhawk St (*)",41.9085,-87.6486,20,2013-09-28
332,"Halsted St & Diversey Pkwy",41.9337,-87.649,20,2013-09-28
333,"Ashland Ave & Blackhawk St",41.9071,-87.6673,15,2013-09-27
334,"Lake Shore Dr & Belmont Ave",41.9408,-87.6392,19,2013-09-27
335,"Calumet Ave & 35th St",41.8314,-87.618,15,2013-10-17
336,"Cottage Grove Ave & 47th St",41.8099,-87.6068,15,2013-10-17
337,"Clark St & Chicago Ave",41.8965,-87.6309,19,2013-09-27
338,"Calumet Ave & 18th St",41.8576,-87.6194,15,2013-09-28
339,"Emerald Ave & 31st St",41.8382,-87.6451,11,2013-09-28
340,"Clark St & Wrightwood Ave",41.9295,-87.6431,15,2013-10-24
341,"Adler Planetarium",41.8661,-87.6073,19,2013-10-09
342,"Wolcott Ave & Polk St",41.8713,-87.6737,15,2013-10-12
343,"Racine Ave & Wrightwood Ave",41.9289,-87.659,15,2013-10-24
344,"Ravenswood Ave & Lawrence Ave",41.9691,-87.6742,39,2013-10-09
345,"Lake Park Ave & 56th St",41.7932,-87.5878,19,2013-10-09
346,"Ada St & Washington Blvd",41.8828,-87.6612,15,2013-10-10
347,"Ashland Ave & Grace St",41.9507,-87.6687,15,2013-10-12
348,"California Ave & 21st St",41.854,-87.6954,15,2013-10-14
