starttimes,from_station_name,to_station_name,counts,from_lat,from_long,to_lat,to_long
7,Canal St & Jackson Blvd,State St & Kinzie St,2,41.8784,-87.6411,41.8892,-87.6277
7,Canal St & Jackson Blvd,Morgan St & Lake St,2,41.8784,-87.6411,41.8855,-87.6523
7,Ashland Ave & Grand Ave,Michigan Ave & Madison St,2,41.8911,-87.6666,41.8821,-87.6251
7,Wells St & Walton St,Franklin St & Quincy St,2,41.8999,-87.6344,41.8787,-87.6348
7,Wacker Dr & Washington St,Dearborn St & Monroe St,2,41.8833,-87.6373,41.8813,-87.6295
7,Ashland Ave & Grace St,Sheffield Ave & Addison St,2,41.9507,-87.6687,41.947,-87.6542
7,Theater on the Lake,Millennium Park,2,41.9263,-87.6308,41.881,-87.6241
7,Theater on the Lake,Streeter Dr & Grand Ave,2,41.9263,-87.6308,41.8923,-87.612
7,Ritchie Ct & Banks St,Orleans St & Ohio St,2,41.9068,-87.6264,41.8922,-87.6369
7,Field Blvd & South Water St,Clark St & Lake St,2,41.8863,-87.6175,41.886,-87.6309
7,Dearborn Pkwy & Delaware Pl,Clinton St & Washington Blvd,2,41.899,-87.6299,41.8834,-87.6412
7,Clinton St & Washington Blvd,Wells St & Huron St,2,41.8834,-87.6412,41.8947,-87.6338
7,Clinton St & Washington Blvd,Wabash Ave & Wacker Pl,2,41.8834,-87.6412,41.8869,-87.626
7,Clinton St & Washington Blvd,Dearborn St & Erie St,2,41.8834,-87.6412,41.894,-87.6293
7,Orleans St & Ohio St,Rush St & Superior St,2,41.8922,-87.6369,41.8958,-87.6259
7,Kedzie Ave & Palmer Ct,California Ave & Milwaukee Ave,2,41.9215,-87.7073,41.9227,-87.6972
7,Troy St & North Ave,Western Ave & Winnebago Ave,2,41.9098,-87.7053,41.9154,-87.6872
7,Clark St & Lincoln Ave,Clark St & Randolph St,2,41.9157,-87.6346,41.8846,-87.6319
7,Indiana Ave & Roosevelt Rd,Shedd Aquarium,2,41.8679,-87.623,41.8672,-87.6154
7,Michigan Ave & 14th St,Millennium Park,2,41.8641,-87.6237,41.881,-87.6241
7,Michigan Ave & 14th St,Clark St & Congress Pkwy,2,41.8641,-87.6237,41.8759,-87.6306
7,Troy St & Elston Ave,Kimball Ave & Belmont Ave,2,41.9452,-87.7066,41.9394,-87.7116
7,Clarendon Ave & Gordon Ter,Sheridan Rd & Irving Park Rd,2,41.9579,-87.6495,41.9542,-87.6544
7,Ogden Ave & Chicago Ave,Wolcott Ave & Polk St,2,41.8964,-87.6541,41.8713,-87.6737
7,Clinton St & Tilden St,Wood St & Taylor St,2,41.8759,-87.6408,41.8692,-87.671
7,Columbus Dr & Randolph St,Clark St & Randolph St,2,41.8847,-87.6195,41.8846,-87.6319
7,Clark St & Wellington Ave,Michigan Ave & Oak St,2,41.9365,-87.6475,41.901,-87.6238
7,Wells St & Concord Ln,Wells St & Elm St,2,41.9121,-87.6347,41.9032,-87.6343
8,Cottage Grove Ave & 63rd St,Ellis Ave & 58th St,4,41.7806,-87.6061,41.7887,-87.6013
8,Canal St & Adams St,Michigan Ave & Washington St,4,41.8793,-87.6399,41.8839,-87.6246
8,Museum of Science and Industry,Ellis Ave & 58th St,4,41.7917,-87.5839,41.7887,-87.6013
8,State St & 29th St,Dusable Harbor,4,41.8417,-87.6269,41.885,-87.6128
8,Canal St & Jackson Blvd,Clinton St & Lake St,3,41.8784,-87.6411,41.8856,-87.6418
8,Sheridan Rd & Buena Ave,Sheridan Rd & Irving Park Rd,3,41.9585,-87.655,41.9542,-87.6544
8,Greenview Ave & Fullerton Ave,Sheffield Ave & Fullerton Ave,3,41.9253,-87.6658,41.9256,-87.6537
8,Clinton St & Washington Blvd,Wabash Ave & Adams St,3,41.8834,-87.6412,41.8795,-87.6257
8,Kedzie Ave & Palmer Ct,California Ave & Milwaukee Ave,3,41.9215,-87.7073,41.9227,-87.6972
8,Larrabee St & Menomonee St,Sedgwick St & North Ave,3,41.9147,-87.6433,41.9114,-87.6387
8,Indiana Ave & Roosevelt Rd,Michigan Ave & Jackson Blvd,3,41.8679,-87.623,41.8778,-87.6241
8,Indiana Ave & Roosevelt Rd,Columbus Dr & Randolph St,3,41.8679,-87.623,41.8847,-87.6195
8,Sheffield Ave & Wellington Ave,Theater on the Lake,3,41.9363,-87.6527,41.9263,-87.6308
8,Wells St & Elm St,Orleans St & Ohio St,3,41.9032,-87.6343,41.8922,-87.6369
8,Wabash Ave & Roosevelt Rd,Dusable Harbor,2,41.8672,-87.626,41.885,-87.6128
8,Clark St & Chicago Ave,LaSalle St & Adams St,2,41.8965,-87.6309,41.8793,-87.632
8,Desplaines St & Kinzie St,May St & Fulton St,2,41.8887,-87.6444,41.8868,-87.656
8,Desplaines St & Kinzie St,Kingsbury St & Kinzie St,2,41.8887,-87.6444,41.8892,-87.6385
8,Franklin St & Lake St,Rush St & Hubbard St,2,41.8858,-87.6355,41.89,-87.6263
8,Carpenter St & Huron St,Rush St & Hubbard St,2,41.8946,-87.6535,41.89,-87.6263
8,Stetson Ave & South Water St,Franklin St & Monroe St,2,41.8868,-87.6223,41.8803,-87.6352
8,Morgan Ave & 14th Pl,Columbus Dr & Randolph St,2,41.8624,-87.6511,41.8847,-87.6195
8,Millennium Park,Lake Shore Dr & Monroe St,2,41.881,-87.6241,41.881,-87.6167
8,Leavitt St & Lawrence Ave,Damen Ave & Leland Ave,2,41.9689,-87.684,41.9671,-87.679
8,Southport Ave & Wellington Ave,Sheffield Ave & Wellington Ave,2,41.9357,-87.6636,41.9363,-87.6527
8,Sedgwick St & Huron St,LaSalle St & Illinois St,2,41.8947,-87.6384,41.8908,-87.6321
8,Michigan Ave & Lake St,Theater on the Lake,2,41.886,-87.6241,41.9263,-87.6308
8,Michigan Ave & Madison St,Streeter Dr & Grand Ave,2,41.8821,-87.6251,41.8923,-87.612
8,Canal St & Madison St,LaSalle St & Jackson Blvd,2,41.8821,-87.6398,41.8782,-87.632
8,Canal St & Madison St,Daley Center Plaza,2,41.8821,-87.6398,41.8842,-87.6296
8,Canal St & Madison St,Wabash Ave & Adams St,2,41.8821,-87.6398,41.8795,-87.6257
8,Canal St & Madison St,Columbus Dr & Randolph St,2,41.8821,-87.6398,41.8847,-87.6195
8,Pine Grove Ave & Irving Park Rd,Sheridan Rd & Irving Park Rd,2,41.9544,-87.648,41.9542,-87.6544
8,Noble St & Milwaukee Ave,Clinton St & Madison St,2,41.9007,-87.6626,41.8822,-87.6411
8,Franklin St & Chicago Ave,Wacker Dr & Washington St,2,41.8968,-87.6356,41.8833,-87.6373
8,Franklin St & Chicago Ave,Desplaines St & Randolph St,2,41.8968,-87.6356,41.8846,-87.6446
8,MLK Jr Dr & Oakwood Blvd,Cottage Grove Ave & Oakwood Blvd,2,41.8226,-87.6161,41.823,-87.6071
8,Rush St & Hubbard St,Orleans St & Ohio St,2,41.89,-87.6263,41.8922,-87.6369
8,Clinton St & Madison St,LaSalle St & Jackson Blvd,2,41.8822,-87.6411,41.8782,-87.632
8,Clinton St & Madison St,Ashland Ave & Harrison St,2,41.8822,-87.6411,41.8743,-87.6672
8,Clinton St & Madison St,Clinton St & Polk St (*),2,41.8822,-87.6411,41.8715,-87.6409
8,Clinton St & Madison St,Peoria St & Jackson Blvd,2,41.8822,-87.6411,41.8778,-87.6496
8,Clinton St & Madison St,Ada St & Washington Blvd,2,41.8822,-87.6411,41.8828,-87.6612
8,Western Ave & Winnebago Ave,Marshfield Ave & Cortland St,2,41.9154,-87.6872,41.916,-87.6689
8,Desplaines St & Jackson Blvd,Orleans St & Merchandise Mart Plaza,2,41.8783,-87.6439,41.8882,-87.6364
8,Lake Shore Dr & Belmont Ave,Streeter Dr & Grand Ave,2,41.9408,-87.6392,41.8923,-87.612
8,Michigan Ave & 18th St,State St & Van Buren St,2,41.8578,-87.6245,41.8772,-87.6278
8,Canal St & Adams St,Michigan Ave & Lake St,2,41.8793,-87.6399,41.886,-87.6241
8,Canal St & Adams St,Kingsbury St & Kinzie St,2,41.8793,-87.6399,41.8892,-87.6385
8,Canal St & Adams St,Morgan St & Lake St,2,41.8793,-87.6399,41.8855,-87.6523
8,Franklin St & Monroe St,McClurg Ct & Illinois St,2,41.8803,-87.6352,41.891,-87.6173
8,Dearborn St & Erie St,Dearborn St & Monroe St,2,41.894,-87.6293,41.8813,-87.6295
8,Ashland Ave & Grace St,Southport Ave & Roscoe St,2,41.9507,-87.6687,41.9437,-87.664
8,Central Park Ave & North Ave,Leavitt St & Armitage Ave,2,41.9097,-87.7166,41.9178,-87.6824
8,Theater on the Lake,Dusable Harbor,2,41.9263,-87.6308,41.885,-87.6128
8,Kingsbury St & Kinzie St,Daley Center Plaza,2,41.8892,-87.6385,41.8842,-87.6296
